red,ir
93270,122672
93283,122701
93301,122814
93350,122926
93326,122417
92944,121241
92640,120784
92620,120857
92679,121031
92743,121156
92795,121323
92866,121498
92885,121446
92843,121345
92822,121331
92844,121416
92890,121572
92949,121735
93020,121914
93088,122078
93137,122219
93178,122325
93207,122398
93232,122483
93276,122602
93299,122434
93055,121398
92703,120740
92632,120754
92676,120911
92746,121088
92798,121243
92875,121475
92939,121513
92918,121439
92902,121448
92938,121590
93000,121778
93069,121960
93135,122137
93192,122309
93252,122432
